nn;word;transcription;translate
4260;obese;[???bi?s];страдающий ожирением
;obesity;[???bi?s?ti];ожирение
4261;stature;[?st???];рост
4262;fragile;[?fr??a?l];хрупкий
;fragility;[fr????l?ti];хрупкость
4263;oral;[???r?l];устный, ротовой
4264;wizard;[?w?z?d];волшебник
;wizardry;[?w?z?dri];колдовство, умение
4265;revolt;[r??v??lt];восстание, бунт
4266;compact;[?k?mp?kt];договор
4267;barefoot;[?be?f?t];босиком
4268;bog;[b?g];болото, трясина
;boggy;[?b?gi];болотистый, топкий
4269;waiter;[?we?t?];официант
;waitress;[?we?tr?s];официантка
4270;nanny;[?n?ni];няня
4271;multitude;[?m?lt?tju?d];множество
4272;flock;[fl?k];стадо, стая
4273;rein;[re?n];сдерживать, держать в узде
4274;shrimp;[?r?mp];креветка
4275;confide;[k?n?fa?d];доверить, вверить
;confidant;[?k?nf??d?nt];доверенное лицо, близкий друг
4276;hollow;[?h?l??];полый
;hollowness;[?h?l??n?s];пустота, бессодержательность
4277;livelihood;[?la?vl?h?d];средства к существованию
4278;cabbage;[?k?b??];капуста
4279;hoop;[hu?p];обруч, обод
4280;swallow;[?sw?l??];проглатывать, глоток
4281;elude;[??lu?d];ускользнуть, увернуться
;elusive;[??lu?s?v];неуловимый
4282;lumber;[?l?mb?];пиломатериалы
;lumbering;[?l?mb?r??];неуклюжий, громыхающий
4283;specimen;[?sp?s?m?n];образец, экземпляр
4284;veer;[v??];резко свернуть
4285;knit;[n?t];вязать
4286;at the moment;[?t???m??m?nt];сейчас
4287;doom;[du?m];гибель, рок, обречённость и т. д.
4288;peek;[pi?k];вгзлянуть, подсмотреть
4289;embassy;[??mb?si];посольство
4290;luggage;[?l?g??];багаж
4291;encompass;[?n?k?mp?s];охватывать, заключать
4292;strew (strewn, strewn);[stru?];разбрасывать
4293;applause;[??pl??z];аплодисменты
;applaud;[??pl??d];рукоплескать
4294;ferocious;[f??r????s];свирепый
;ferociousness;[f??r????sn?s];свирепость
4295;rogue;[r??g];жулик, проходимец
4296;lane;[le?n];полоса дороги
4297;tell from;[t?l fr?m];отличить
;hold down;[h??ldda?n];удерживать
4298;remainder;[r??me?nd?];оставшаяся часть
4299;wretched;[?r???d];жалкий, несчастный
4300;twilight;[?twa?la?t];сумерки
4301;vein;[ve?n];вена
4302;hood;[h?d];капюшон
4303;buckle up;[?b?kl?p];пристегнуться
4304;accessory;[?k?s?s?ri];принадлежность, аксессуар
4305;maternal;[m??t??nl];материнский
;maternity;[m??t??n?ti];материнство
4306;clog;[kl?g];загромождать
4307;strand;[str?nd];прядь, нить (об. скрученная)
4308;blouse;[bla?z];блузка
4309;earthquake (quake);[????kwe?k];землетрясение
4310;turn into;[t??n??ntu?];превращать (ся)
;change into;[?e?n???ntu?];превращаться в
4311;jumper;[???mp?];джемпер
4312;shove;[??v];резко толкнуть, пихнуть
4313;hideous;[?h?d??s];отвратительный, ужасный
4314;catch up with;[k???pw??];догнать
4315;get at;[g?t?t];клонить, намекать
4316;ambulance;[??mbj?l?ns];скорая помощь
4317;kindergarten;[?k?nd??g??tn];детский сад
4318;hue;[hju?];цвет, оттенок
4319;enlighten;[?n?la?tn];просветить
;enlightenment;[?n?la?tnm?nt];просветление
4320;glasses;[?gl??s?z];очки
4321;saturated;[?s???re?t?d];насыщенный
;saturation;[?s????re???n];насыщенность
4322;cork;[k??k];пробка
;corkscrew;[?k??kskru?];штопор
4323;recur;[r??k??];повторяться, возвращаться
;recurrent;[r??k?r?nt];возвратный
;recurrence;[r??k?r?ns];повторение
;recursion;[recursion];рекурсия
4324;alienate;[?e?li?ne?t];отчуждать, отдалять, отвергать
;alienation;[?e?li??ne??(?)n];отчуждение
4325;twitch;[tw??];дёргаться
4326;celestial;[s??l?sti?l];астрономический, небесный
4327;timely;[?ta?mli];своевременный
;untimely;[?n?ta?mli];безвременно
4328;posture;[?p?s??];поза
4329;hopeful;[?h??pf?l];внушающий надежды
;hopeless;[?h??pl?s];безнадежный
4330;procure;[pr??kj??];достать, добыть, обеспечить
;procurement;[pr??kj??m?nt];закупка, поставка
4331;go for;[g??f??];выбирать, предпочитать
4332;contaminate;[k?n?t?m?ne?t];загрязнять
;contamination;[k?n?t?m??ne???n];загрязнение
;contaminant;[k?n?t?m?n?nt];загрязнитель
4333;sprawl;[spr??l];растягиваться, расползаться
4334;wiggle;[?w?gl];шевелить
4335;orphan;[???f?n];сирота
;orphanage;[???f?n??];сиротство или детдом
4336;meadow;[?m?d??];луг
4337;regain;[r??ge?n];восстановить, вернуть себе
4338;career;[k??r??];карьера
4339;rotten;[?r?tn];гнилой
4340;voyage;[?v????];путешествие, рейс
;voyager;[?v?????];мореплаватель
4341;policy;[?p?l?si];политика, курс
4342;dice (pl: dice);[da?s];кубик (игральный)
4343;block up;[bl?k?p];забиться (о канале)
4344;refresh;[r??fr??];обновлять, освежить
4345;pick out;[p?ka?t];выбрать или выделить из
4346;brink;[br??k];грань, край
4347;deficient;[d??f???nt];недостаточный, неполный
;deficiency;[d??f???nsi];неполноценность, нехватка
4348;tutor;[?tju?t?];репетитор, преподаватель
;tutorial;[tju(?)?t??r??l];руководство
4349;align;[??la?n];выравнивать, выстраивать
;alignment;[??la?nm?nt];выравнивание
4350;mourn;[m??n];скорбеть, носить траур
4351;carriage;[?k?r??];каретка
4352;bulb;[b?lb];лампа, колба
4353;pull off;[p?l?f];справиться, вытянуть
4354;asylum;[??sa?l?m];убежище
;lunatic asylum;[?lu?n?t?k??sa?l?m];психбольница
4355;deity;[?di??ti];божество
4356;greenhouse;[?gri?nha?s];теплица, оранжерея
4357;inhale;[?n?he?l];вдыхать
;inhalation;[??nh??le???n];ингаляция
4358;exhale;[?ks?he?l];выдыхать
;exhalation;[??ksh??le???n];выдыхание
4359;groom;[gr?m];жених
;bridegroom;[?bra?dgr?m];жених
4360;set down;[s?tda?n];написать, установить
4361;den;[d?n];логово, берлога
4362;turmoil;[?t??m??l];смятение, беспорядок
4363;thwart;[?w??t];помешать, сорвать
4364;concede;[k?n?si?d];уступить
;concession;[k?n?s???n];уступка, концессия
4365;run counter;[r?n?ka?nt?];противоречить
4366;rugged;[?r?g?d];неровный, грубый
4367;fury;[?fj??ri];ярость, бешенство
;furious;[?fj??r??s];яростный
4368;stew;[stju?];тушить, рагу
4369;chess;[??s];шахматы
;chessboard;[???sb??d];шахматная доска
4370;stump;[st?mp];пень
4371;vase;[v??z];ваза
4372;traitor;[?tre?t?];изменник
;traitorous;[?tre?t?r?s];предательский
4373;desktop;[?d?skt?p];настольный
4374;ID;[a?-di?];удостоверение личности
4375;hurdle;[?h??dl];препятствие
4376;grove;[gr??v];лесок
4377;allegiance;[??li???ns];верность
4378;overlap;[???v??l?p];перекрываться
4379;summon;[?s?m?n];вызывать
4380;awkward;[???kw?d];неуклюжий
;awkwardness;[???kw?dn?s];неуклюжесть
4381;felon;[?f?l?n];преступник, уголовник
;felony;[?f?l?ni];преступление
4382;ship;[??p];доставлять
4383;wash up;[w???p];помыть посуду
4384;revolve;[r??v?lv];вращаться
;revolver;[r??v?lv?];барабан или револьвер
4385;mix up;[m?ks?p];перепутать
4386;token;[?t??k?n];знак, признак, маркер
4387;midst;[m?dst];середина, среда
4388;childhood;[??a?ldh?d];детство
;manhood;[?m?nh?d];взрослый возраст
;motherhood;[?m???h?d];материнство
;fatherhood;[?f????h?d];отцовство
;boyhood;[?b??h?d];отрочество
4389;extort;[?ks?t??t];вымогать
;extortion;[?ks?t????n];вымогательство
;extortionist;[?ks?t????n?st];вымогатель
4390;proficient;[pr??f???nt];опытный, умелый
;proficiency;[pr??f???nsi];умение
4391;burn down;[b??nda?n];сгореть, сжечь (полностью)
4392;villain;[?v?l?n];негодяй
;villainy;[?v?l?ni];злодейство
;villainous;[?v?l?n?s];злодейский
4393;oriental;[???r???nt(?)l];восточный, азиатский
;orientalist;[???r???nt?l?st];востоковед
4394;cargo;[?k??g??];груз, грузовой
4395;lament;[l??m?nt];оплакивать, сожалеть
;lamentable;[?l?m?nt?bl];плачевный
;lamentation;[?l?m?n?te???n];причитание
4396;gloss;[gl?s];глянец, лоск
;glossy;[?gl?si];глянцевый
4397;soothe;[su??];успокаивать
4398;trash;[tr??];мусор
4399;solemn;[?s?l?m];торжественный, серьёзный
;solemnity;[s??l?mn?ti];торжественность
4400;sanctuary;[?s??ktj??ri];убежище или заповедник
4401;paddle;[?p?dl];грести, весло
4402;branch;[br??n?];филиал, ответвление
4403;anytime;[??ni?ta?m];в любой момент
4404;ambush;[??mb??];засада
4405;ominous;[??m?n?s];зловещий
4406;pay back;[pe?b?k];вернуть деньги
4407;smother;[?sm???];задушить
4408;clever;[?kl?v?];умный
;cleverness;[?kl?v?n?s];ум
4409;silly;[?s?li];глупый
4410;come along;[k?m??l??];продвигаться (о работе)
;come on;[k?m?n];продвигаться
4411;ant;[?nt];муравей
4412;yearn;[j??n];тосковать, жаждать
;yearning;[?j??n??];стремление, острая тоска
4413;ignite;[?g?na?t];воспламеняться
;ignition;[?g?n???n];зажигание
4414;intercourse;[??nt?(?)k??s];отношения или пол. сношение
4415;atrocity;[??tr?s?ti];зверство, злодеяние
;atrocious;[??tr????s];отвратительный
4416;fasten;[?f??sn];закрепить
;unfasten;[?n?f??sn];открепить
4417;stale;[ste?l];несвежий
4418;glacier;[?gl?si?];ледник
4419;friction;[?fr?k??n];трение
4420;animate;[??n?m?t];живой, одушевлённый, оживлять
;animated;[??n?me?t?d];оживлённый
;animation;[??n??me??(?)n];оживление
;inanimate;[?n??n?m?t];неодушевленный
4421;lyrics;[?l?r?ks];текст песни
4422;usage;[?ju?z??];применение
4423;come by;[k?mba?];найти, заполучить
4424;wink;[w??k];подмигивать
4425;hail;[he?l];приветствовать
4426;pledge;[pl??];обещание, обязательство
4427;surplus;[?s??pl?s];избыток, излишек (экон.)
4428;antique;[?n?ti?k];старинный
;antiquity;[?n?t?kw?ti];древность
4429;ripple;[?r?pl];рябь или пульсация
4430;bewilder;[b??w?ld?];смущать, сбивать с толку
4431;piss off;[p?s?f];бесить
4432;consecutive;[k?n?s?kj?t?v];последующий по времени
4433;rag;[r?g];тряпка
;ragged;[?r?g?d];оборванный
4434;cruel;[kr??l];жестокий
;cruelty;[?kru(?)?lti];жестокость
4435;growl;[gra?l];рычать
4436;tread;[tr?d];ступать, шагать
4437;trout;[tra?t];форель
4438;rust;[r?st];ржавчина
;rusty;[?r?sti];ржавый
4439;utter;[??t?];издать, произнести
4440;exquisite;[??kskw?z?t];утончённый, изысканный
4441;wicked;[?w?k?d];злобный, безнравственный
;wickedness;[?w?k?dn?s];злобность
4442;settle in;[?s?tl?n];освоиться
4443;violin;[?va???l?n];скрипка
4444;minor;[?ma?n?];несовершеннолетний
4445;deception;[d??s?p??n];обман
;deceptive;[d??s?pt?v];обманчивый
4446;hay;[he?];сено
4447;runaway;[?r?n?we?];беглый, беглец
4448;slut;[sl?t];шлюха
4449;maid;[me?d];служанка, горничная
4450;hitch;[h??];заминка, помеха
;hitched;[h??t];женатый, замужняя (разг.)
4451;adamant;[??d?m?nt];непреклонный
4452;sinister;[?s?n?st?];зловещий
4453;ostensibly;[?s?t?ns?bli];по видимости, якобы
4454;seasoning;[?si?zn??];приправа
4455;vigor;[?v?g?];сила, энергия, здоровье
;vigorous;[?v?g?r?s];бодрый
4456;hand down;[h?ndda?n];передать (по наследству)
4457;mimic;[?m?m?k];передразнивать, копировать
4458;live up to;[l?v?ptu?];соответствовать, дотягивать
;measure up to;[?m???r?ptu?];соответствовать, дотягивать
;come up to;[k?m?ptu?];соответствовать, дотягивать
4459;benevolent;[b??n?v?l?nt];благожелательный
;benevolence;[b??n?v?l?ns];благожелательность
4460;brazen;[?bre?zn];наглый
;brazenness;[?bre?zn?s];наглость, бесстыдство
4461;brace;[bre?s];скоба, распорка, скрепа
4462;squad;[skw?d];команда, отряд
4463;dole;[d??l];пособие по безработице
4464;junkie;[????ki];наркоман
4465;clamp;[kl?mp];зажимать, зажим
4466;murmur;[?m??m?];шум, ропот, журчание
4467;fight back;[fa?tb?k];отбиваться
4468;pick up;[p?k?p];подобрать
4469;fleet;[fli?t];флот
4470;ascertain;[??s??te?n];выяснить, установить
4471;tinker with;[?t??k?w??];возиться, пытаться сделать
4472;block out;[bl?ka?t];блокировать, не пускать
4473;violet;[?va??l?t];фиолетовый
;ultraviolet (UV);[??ltr??va??l?t];ультрафиолетовый
4474;brim;[?br?m];край сосуда
;brim;[?br?m];поля шляпы
4475;premise;[?pr?m?s];предпосылка
4476;marvel;[?m??v?l];диво, удивляться
;marvelous;[?m??v?l?s];дивный
4477;poise;[p??z];равновесие, самообладание
4478;amenity;[??mi?n?ti];удобство, обустройство
4479;mediate;[?mi?d??t];посредничать
;mediation;[?mi?d??e???n];посредничество
;mediator;[?mi?d?e?t?];посредник
4480;moan;[m??n];стонать
4481;mustard;[?m?st?d];горчица
4482;humble;[?h?mbl];скромный, смиренный
4483;remorse;[r??m??s];раскаяние
4484;marital;[?m?r?tl];супружеский
4485;garnish;[?g??n??];гарнир, украшение
4486;hack;[h?k];рубить, кромсать
4487;revere;[r??v??];почитать
;reverence;[?r?v?r?ns];почитание, благоговение
;reverent;[?r?v?r?nt];благоговейный
4488;reap;[ri?p];пожинать
4489;thrive;[?ra?v];процветать, преуспевать
4490;eloquent;[??l??kw?nt];красноречивый, выразительный
;eloquence;[??l??kw?ns];красноречие
4491;crude;[kru?d];сырой, грубый, необработанный
;crudeness;[?kru?dn?s];грубость
4492;puppet;[?p?p?t];кукла, марионетка
4493;prejudice;[?pr???d?s];предубеждение, предрассудок
;prejudiced;[?pr???d?st];предвзятый
;unprejudiced;[?n?pr???d?st];беспристрастный
4494;grumble;[?gr?mbl];ворчать, жаловаться
4495;herald;[?h?r?ld];возвестить, вестник
;unheralded;[??n?h?r?ld?d];необъявленный
4496;acquit;[??kw?t];оправдать (в суде)
;acquittal;[??kw?tl];оправдание
4497;tribute;[?tr?bju?t];дань
4498;stick at;[st?k?t];упорно продолжать
4499;claw;[kl??];коготь, клешня
4500;come out;[k?ma?t];выходить (напр. об альбоме)
4501;stance;[st??ns];поза, положение
4502;snort;[sn??t];фыркнуть, хмыкнуть
4503;digest;[?da???st];переваривать
;digestion;[d????s??n];пищеварение
;indigestion;[??nd????s??n];расстройство желудка
;digestive;[d????st?v];пищеварительный
4504;beckon;[?b?k?n];манить
4505;surpass;[s???p??s];превзойти
;unsurpassed;[??ns?(?)?p??st];непревзойденный
4506;lucrative;[?lu?kr?t?v];прибыльный, выгодный
4507;dye;[da?];краска, краситель
4508;dial;[?da??l];набирать номер
4509;deprive;[d??pra?v];лишать
;deprivation;[?d?pr??ve???n];лишение
4510;frantic;[?fr?nt?k];неистовый, бешеный
4511;discrete;[d?s?kri?t];отдельный, разрозненный
4512;blow up;[bl???p];накачивать, надувать
4513;timber;[?t?mb?];древесина, лесоматериалы
4514;vow;[va?];клятва, торжественное обещание
4515;feminine;[?f?m?n?n];женский
;femininity;[?f?m??n?n?ti];женственность
4516;break up;[bre?k?p];разорвать отношения
;breakup;[?bre?k??p];расставание
4517;cough;[k?f];кашель
4518;chunk;[???k];кусок
4519;pillar;[?p?l?];столб, опора, колонна
4520;cohesion;[k???hi???n];единство, согласие
;cohesive;[k???hi?s?v];связный, связующий
4521;envision;[?n?v???n];воображать
4522;cute;[kju?t];привлекательный, милый
4523;frost;[fr?st];мороз
4524;cue;[kju?];сигнал, намёк
4525;stove;[st??v];плита
4526;scrape through;[skre?p?ru?];с трудом пройти
4527;verse;[v??s];стих
4528;rigorous;[?r?g?r?s];строгий, тщательный
4529;footprint;[?f?tpr?nt];след
4530;squirrel;[?skw?r?l];белка
4531;hit on;[h?t ?n];клеить, подкатывать
4532;portable;[?p??t?bl];портативный, переносной
4533;ripe;[ra?p];созревший
;ripen;[?ra?p?n];созревать
4534;wobble;[?w?bl];качаться, шататься
4535;diverge;[da??v???];расходиться
;divergence;[da??v????ns];расхождение
4536;converge;[k?n?v???];сходиться, сближаться
;convergence;[k?n?v????ns];сближение
4537;odor (odour);[???d?];запах
;deodorant;[di????d?r?nt];дезодорант
4538;sideline;[?sa?dla?n];что-то вторичное
4539;versatile;[?v??s?ta?l];универсальный, разносторонний
;versatility;[?v??s??t?l?ti];многосторонность
4540;amateur;[??m?t?];любитель, любительский
4541;rut;[r?t];борозда, колея, рутина
4542;hinge;[h?n?];петля, шарнир
4543;die out;[da? a?t];вымереть
4544;grudge;[gr??];обида, злоба
;grudgingly;[?gr????li];нехотя
4545;acclaim;[??kle?m];приветствовать, аплодировать
;acclamation;[??kl??me??(?)n];приветствие, одобрение
4546;shaft;[???ft];вал, ось, стержень
4547;inland;[??nl?nd];внутренний, вглубь страны
4548;flood in;[fl?d?n];наплыть, валить потоком
4549;garment;[?g??m?nt];предмет одежды
4550;shudder;[???d?];содрогаться, дрожь
4551;slender;[?sl?nd?];тонкий, стройный, изящный
4552;ink;[??k];чернила
4553;rainbow;[?re?nb??];радуга
4554;bachelor;[?b???l?];холостяк
4555;reciprocal;[r??s?pr?k?l];взаимный, ответный
;reciprocate;[r??s?pr?ke?t];отвечать взаимностью
4556;clamour;[?kl?m?];шум, ропот, протесты
4557;pristine;[?pr?sta?n];нетронутый, первозданный
4558;fall through;[f??l?ru?];провалиться
4559;bunny;[?b?ni];кролик (разг, детск.)
4560;remnant;[?r?mn?nt];остаток
4561;dissipate;[?d?s?pe?t];рассеивать
;dissipation;[?d?s??pe???n];рассеивание
4562;flick through;[fl?k?ru?];просмотреть, пролистать
;go through;[g???ru?];просмотреть, пролистать
4563;solitude;[?s?l?tju?d];одиночество
4564;smuggle;[?sm?gl];провозить тайно
;smuggler;[?sm?gl?];контрабандист
4565;gorgeous;[?g????s];шикарный
4566;misery;[?m?z?ri];несчастье, страдание
4567;intercept;[??nt?(?)s?pt];перехватить
;interception;[??nt?(?)?s?p??n];перехват или подслушивание
4568;motto;[?m?t??];девиз
4569;dispel;[d?s?p?l];развеяться, исчезнуть
4570;petal;[?p?tl];лепесток
4571;terminal;[?t??m?nl];конечный, заключительный
4572;trench;[tr?n?];траншея
4573;hefty;[?h?fti];большой и тяжёлый
4574;mosque;[m?sk];мечеть
4575;abduct;[?b?d?kt];похищать
;abduction;[?b?d?k?(?)n];похищение
4576;appliance;[??pla??ns];прибор, приспособление
4577;avid;[??v?d];заядлый, рьяный, алчный
;avidity;[??v?d?ti];алчность
4578;clutter;[?kl?t?];беспорядок, куча всего
4579;shake off;[?e?k?f];отделаться
4580;uphill;[??p?h?l];в гору
;downhill;[?da?n?h?l];с горы
4581;keep away;[ki?p??we?];держать (ся) подальше
;stay away;[ste???we?];держаться подальше
4582;demand;[d??m??nd];спрос
4583;supply;[s??pla?];предложение
4584;allocate;[??l??ke?t];распределять (ресурсы)
;allocation;[??l???ke??(?)n];распределение
4585;anthem;[??n??m];гимн
4586;scrap;[skr?p];обломок, обрывок
4587;splendid;[?spl?nd?d];великолепный, блестящий
4588;warehouse;[?we?ha?s];склад
4589;underneath;[??nd??ni??];под
4590;parcel;[?p??sl];посылка
4591;fancy;[?f?nsi];представлять, полагать
4592;flatter;[?fl?t?];льстить
;flattery;[?fl?t?ri];лесть
4593;call for;[k??lf??];требовать, взывать
4594;nausea;[?n??zi?];тошнота
;nauseous;[?n??zi?s];тошнотворный
;nauseating;[?n??s?e?t??];тошнотворный
4595;fuse;[fju?z];плавиться, сливаться
;fusion;[?fju???n];слияние
4596;lay down;[le?da?n];установить (правило, норму)
4597;superb;[sju(?)?p??b];превосходный
4598;hiss;[h?s];шипеть
4599;come by;[k?m ba?];зайти
;swing by;[sw?? ba?];заскочить по пути
4600;cupboard;[?k?p?d];шкаф, буфет
4601;run;[r?n];управлять
4602;congestion;[k?n???s??n];загруженность, запор
4603;grievance;[?gri?v?ns];обида
4604;unravel;[?n?r?v?l];распутать
4605;help out;[h?lpa?t];выручить
4606;platter;[?pl?t?];большое блюдо
4607;peninsula;[p??n?nsj?l?];полуостров
4608;mercury;[?m??kj?ri];ртуть
4609;strike out;[stra?k a?t];потерпеть неудачу
4610;build on;[b?ld?n];нарастить, развить
4611;acquaint;[??kwe?nt];знакомить
;acquaintance;[??kwe?nt?ns];знакомство
4612;ransom;[?r?ns?m];выкуп
4613;retaliate;[r??t?l?e?t];отплатить, отомстить
;retaliation;[r??t?l??e???n];воздаяние
4614;bracket;[?br?k?t];скобка
4615;melon;[?m?l?n];дыня
;watermelon;[?w??t??m?l?n];арбуз
4616;groove;[gru?v];канавка, желоб
4617;opt for;[?ptf??];выбирать из вариантов
;opt in;[?pt?n];согласиться
;opt out;[?pta?t];отказаться
;option;[??p??n];вариант
4618;fog;[f?g];туман
;foggy;[?f?gi];туманный
4619;sheer;[???];отвесный
4620;throw away;[?r????we?];выбрасывать
4621;mingle;[?m??gl];смешиваться
4622;fossil;[?f?sl];ископаемое
;fossilized;[?f?s?la?zd];окаменелый
4623;bypass;[?ba?p??s];обходить, обход
4624;mend;[m?nd];чинить, поправлять
4625;watchful;[?w??f?l];бдительный
4626;devise;[d??va?z];придумывать, изобретать
4627;triangle;[?tra???gl];треугольник
;triangular;[tra????gj?l?];треугольный
4628;durable;[?dj??r?bl];прочный, долговечный
;durability;[?dj??r??b?l?ti];долговечность
4629;drastic;[?dr?st?k];радикальный, резкий
4630;faucet;[?f??s?t];кран
4631;look up to;[l?k?ptu?];уважать, восхищаться
;look down on;[l?k da?n ?n];смотреть свысока
4632;arrogant;[??r??g?nt];высокомерный
;arrogance;[??r?g?ns];высокомерие
4633;beforehand;[b??f??h?nd];заранее
4634;dignity;[?d?gn?ti];достоинство
4635;crave;[kre?v];жаждать, требовать
4636;vivid;[?v?v?d];яркий
4637;disguise;[d?s?ga?z];маскировать, маскировка
;undisguised;[??nd?s?ga?zd];нескрываемый
4638;theater (theatre);[????t?];театр
4639;grease;[gri?s];смазка, жир
;greasy;[?gri?zi];жирный
4640;lag;[l?g];запаздывание
4641;disgrace;[d?s?gre?s];бесчестие, позор
;disgraceful;[d?s?gre?sf?l];позорный
4642;sludge;[sl??];осадок, отстой, ил
4643;audible;[???d?bl];слышимый
;inaudible;[?n???d?bl];неслышный
4644;pouch;[pa??];сумочка, кошелёк
4645;clean up;[kli?n?p];убрать (мусор)
;tidy up;[?ta?di?p];убирать
;cleanup;[?kli?n?p];уборка
4646;albeit;[??l?bi??t];хотя
4647;disgust;[d?s?g?st];отвращение
;disgusting;[d?s?g?st??];отвратительный
4648;reach out;[ri??a?t];потянуться (рукой)
4649;subway;[?s?bwe?];метро (амер.)
4650;tube;[tju?b];метро (в Лондоне)
4651;uprising (rising);[?p?ra?z??];восстание
4652;break down;[bre?kda?n];ломаться
;breakdown;[?bre?k?da?n];разрушение
4653;fairly;[?fe?li];довольно, вполне
4654;outing;[?a?t??];прогулка, пикник и т. д.
4655;inhibit;[?n?h?b?t];препятствовать, затруднять
;inhibition;[??nh??b???n];торможение, задержка
4656;blackmail;[?bl?kme?l];шантажировать
4657;holler;[?h?l?];крикнуть, окликнуть
4658;crow;[kr??];ворона
4659;shabby;[???bi];потрёпанный, облезлый
4660;avert;[??v??t];предотвращать, отводить
4661;dormitory;[?d??m?tri];общежитие
4662;brass;[br??s];латунь
4663;jelly;[???li];желе
;jellyfish;[???l?f??];медуза
4664;beak;[bi?k];клюв
4665;waist;[we?st];талия
4666;pave;[pe?v];вымостить
;pavement;[?pe?vm?nt];мостовая
4667;jaw;[???];челюсть
4668;augment;[???gm?nt];увеличить, нарастить
;augmentation;[???gm?n?te??(?)n];увеличение
4669;lineage;[?l?n???];родословная
4670;scrutiny;[?skru?t?ni];внимательный осмотр, изучение
;scrutinize;[?skru?t?na?z];тщательно исследовать
4671;wit;[w?t];ум, остроумие
;witty;[?w?ti];остроумный
4672;shave;[?e?v];брить
;shave off;[?e?v?f];сбривать
4673;lettuce;[?l?t?s];салат (латук)
4674;go against;[g????g?nst];противоречить
4675;wrestle;[?r?sl];бороться
;wrestler;[?r?sl?];борец
4676;thigh;[?a?];бедро
4677;gratitude;[?gr?t?tju?d];благодарность
4678;beaver;[?bi?v?];бобр
4679;flake;[fle?k];слоиться, крошиться
4680;splash;[spl??];брызги, всплеск
4681;toil;[t??l];тяжело трудиться
4682;goat;[g??t];козел, коза
4683;perish;[?p?r??];погибать
4684;imminent;[??m?n?nt];неизбежный
4685;purge;[p???];чистка, очищать
;purgatory;[?p??g?t?ri];чистилище
4686;bankrupt;[?b??kr?pt];банкрот, неплатежеспособный
;bankruptcy;[?b??kr?ptsi];банкротство
4687;heed;[hi?d];прислушиваться, учитывать
;heedless;[?hi?dl?s];беспечный
4688;seal;[si?l];тюлень
4689;barb;[b??b];шип, зазубрина
;barbed;[b??bd];колючий
4690;pant;[p?nt];пыхтеть, задыхаться
4691;coconut;[?k??k?n?t];кокос
4692;cram;[kr?m];втискивать, впихивать
4693;kidnap;[?k?dn?p];похищать
4694;ensue;[?n?sju?];следовать, вытекать
4695;enclose;[?n?kl??z];окружать, заключать
;enclosure;[?n?kl????];ограждение, ограда
4696;tangle;[?t??gl];запутывать
;entangled;[?n?t??gld];запутанный
;untangle;[?n?t??gl];распутывать
4697;ridiculous;[r??d?kj?l?s];смешной, нелепый
4698;duo;[?dju???];дуэт
4699;entrepreneur;[??ntr?pr??n??];предприниматель
;entrepreneurial;[?ntr?pr??n??r??l];предпринимательский
;entrepreneurship;[??ntr?pr??n????p];предпринимательство
4700;waterfall;[?w??t?f??l];водопад
4701;taint;[te?nt];загрязнить, испортить
;untainted;[??n?te?nt?d];незапятнанный
4702;wash down;[w??da?n];запивать
4703;dispatch;[d?s?p??];отправлять, отправка
4704;sow (sowed, sown);[s??];сеять
4705;shovel;[???vl];лопата или совок
4706;banish;[?b?n??];отгонять
;banishment;[?b?n??m?nt];изгнание, высылка
4707;get along;[g?t??l??];ладить
;get on;[g?t?n];ладить
4708;depart;[d??p??t];отправляться, отходить
;departure;[d??p????];отправка
4709;contempt;[k?n?t?mpt];презрение, презирать
;contemptuous;[k?n?t?mptj??s];презрительный
4710;cold;[k??ld];простуда
4711;fortify;[?f??t?fa?];укреплять, поддерживать
;fortification;[?f??t?f??ke???n];укрепление
4712;override;[???v??ra?d];перекрывать, отменять
4713;repay;[r??pe?];отплатить
;repayment;[ri??pe?m?nt];погашение
4714;incur;[?n?k??];навлечь, повлечь
4715;lunar;[?lu?n?];лунный
4716;bloat;[bl??t];раздуваться
4717;scowl;[ska?l];насупиться, рассердиться
4718;crunch;[kr?n?];хрустеть
;crunchy;[?kr?n?i];хрустящий
4719;thrift;[?r?ft];бережливость
;thrifty;[??r?fti];экономный
;thrift shop;[?r?ft??p];комиссионный магазин
4720;ass;[?s];жопа
;arse;[??s];жопа (брит.)
;asshole;[??s?h??l];мудак
;arsehole;[???s?h??l];мудак (брит.)
4721;outstanding;[a?t?st?nd??];неоплаченный
4722;slate;[sle?t];шифер или сланец
4723;vinegar;[?v?n?g?];уксус
4724;intersect;[??nt?(?)?s?kt];пересекаться
;intersection;[??nt?(?)?s?k??n];пересечение
4725;beware;[b??we?];остерегаться
4726;discard;[?d?sk??d];отбросить, отказаться
4727;expertise;[??ksp???ti?z];опыт, компетенция
4728;preoccupy;[pri(?)??kj?pa?];занимать внимание
4729;warp;[w??p];деформироваться
4730;soar;[s??];парить, взмывать (втч. о ценах)
4731;vengeance;[?v?n??ns];отмщение
4732;screw;[skru?];к чёрту
4733;displace;[d?s?ple?s];вытеснять, смещать
;displacement;[d?s?ple?sm?nt];смещение
4734;reign;[re?n];царствовать
4735;rib;[r?b];ребро
;ribbed;[r?bd];ребристый
;ribcage;[ribcage];грудная клетка
4736;trickle;[?tr?kl];струйка, капать, сочиться
